#Time	Etot_1
1.00100000	0.00000000
1.00300000	-1.64350000
1.00500000	-1.73390000
1.00700000	-2.95380000
1.00900000	-4.35380000
1.01100000	-3.86790000
1.01300000	-4.02180000
1.01500000	-5.19300000
1.01700000	-6.40520000
1.01900000	-7.22800000
1.02100000	-6.79690000
1.02300000	-7.21060000
1.02500000	-8.94250000
1.02700000	-7.40320000
1.02900000	-8.98260000
1.03100000	-9.07200000
1.03300000	-9.78580000
1.03500000	-10.37190000
1.03700000	-11.38320000
1.03900000	-11.10220000
1.04100000	-10.70110000
1.04300000	-11.98310000
1.04500000	-13.17340000
1.04700000	-12.13160000
1.04900000	-13.00040000
1.05100000	-13.72900000
1.05300000	-16.00210000
1.05500000	-13.60830000
1.05700000	-14.13020000
1.05900000	-15.66690000
1.06100000	-15.28960000
1.06300000	-15.95930000
1.06500000	-16.14050000
1.06700000	-16.86640000
1.06900000	-15.23720000
1.07100000	-17.39610000
1.07300000	-15.32170000
1.07500000	-17.86780000
1.07700000	-17.13930000
1.07900000	-15.52230000
1.08100000	-17.41960000
1.08300000	-16.07920000
1.08500000	-16.93930000
1.08700000	-16.16300000
1.08900000	-18.41900000
1.09100000	-17.92060000
1.09300000	-19.51890000
1.09500000	-18.81250000
1.09700000	-19.19410000
1.09900000	-19.73860000
1.10100000	-19.01880000
1.10300000	-22.35670000
1.10500000	-19.60920000
1.10700000	-20.34960000
1.10900000	-20.19960000
1.11100000	-20.71310000
1.11300000	-19.87570000
1.11500000	-21.57740000
1.11700000	-21.89790000
1.11900000	-19.43370000
1.12100000	-20.11280000
1.12300000	-18.53580000
1.12500000	-21.28660000
1.12700000	-23.29920000
1.12900000	-22.36790000
1.13100000	-23.77200000
1.13300000	-21.55070000
1.13500000	-23.15830000
1.13700000	-22.59720000
1.13900000	-23.87420000
1.14100000	-23.15250000
1.14300000	-22.31040000
1.14500000	-23.65390000
1.14700000	-23.71690000
1.14900000	-23.16090000
1.15100000	-22.31000000
1.15300000	-21.79120000
1.15500000	-24.43500000
1.15700000	-23.37670000
1.15900000	-22.60470000
1.16100000	-20.89030000
1.16300000	-23.96570000
1.16500000	-26.68100000
1.16700000	-21.94160000
1.16900000	-23.88550000
1.17100000	-26.80060000
1.17300000	-24.16200000
1.17500000	-25.10980000
1.17700000	-25.94980000
1.17900000	-23.24990000
1.18100000	-24.49040000
1.18300000	-25.05130000
1.18500000	-24.03020000
1.18700000	-23.33660000
1.18900000	-21.80130000
1.19100000	-25.65010000
1.19300000	-24.76960000
1.19500000	-27.39460000
1.19700000	-24.37680000
1.19900000	-23.54760000
1.20100000	-22.17750000
1.20300000	-25.23370000
1.20500000	-27.80400000
1.20700000	-28.09520000
1.20900000	-23.45990000
1.21100000	-26.69080000
1.21300000	-24.32370000
1.21500000	-26.31700000
1.21700000	-29.20050000
1.21900000	-24.28860000
1.22100000	-26.58050000
1.22300000	-25.14640000
1.22500000	-26.33240000
1.22700000	-24.80560000
1.22900000	-23.59960000
1.23100000	-26.91090000
1.23300000	-26.42450000
1.23500000	-25.10020000
1.23700000	-25.27940000
1.23900000	-26.43380000
1.24100000	-27.37680000
1.24300000	-21.78570000
1.24500000	-26.94050000
1.24700000	-27.99950000
1.24900000	-28.76970000
1.25100000	-27.03120000
1.25300000	-25.22530000
1.25500000	-23.49150000
1.25700000	-26.14270000
1.25900000	-24.49170000
1.26100000	-24.90740000
1.26300000	-27.01150000
1.26500000	-26.55740000
1.26700000	-26.69350000
1.26900000	-26.13270000
1.27100000	-29.94610000
1.27300000	-23.92080000
1.27500000	-26.33600000
1.27700000	-25.52190000
1.27900000	-27.07770000
1.28100000	-29.41250000
1.28300000	-25.95510000
1.28500000	-28.08830000
1.28700000	-27.77740000
1.28900000	-27.45020000
1.29100000	-27.16040000
1.29300000	-25.80520000
1.29500000	-27.76260000
1.29700000	-28.53700000
1.29900000	-29.60390000
1.30100000	-26.77300000
1.30300000	-27.11650000
1.30500000	-25.20510000
1.30700000	-26.25860000
1.30900000	-26.04600000
1.31100000	-28.26920000
1.31300000	-27.90100000
1.31500000	-25.14930000
1.31700000	-25.80930000
1.31900000	-25.95940000
1.32100000	-26.50440000
1.32300000	-27.51620000
1.32500000	-26.40540000
1.32700000	-28.33380000
1.32900000	-26.52600000
1.33100000	-28.54640000
1.33300000	-27.56470000
1.33500000	-25.82350000
1.33700000	-29.01220000
1.33900000	-28.07140000
1.34100000	-25.75580000
1.34300000	-27.56920000
1.34500000	-26.14740000
1.34700000	-27.77260000
1.34900000	-28.35940000
1.35100000	-28.91700000
1.35300000	-28.82230000
1.35500000	-28.53910000
1.35700000	-27.30980000
1.35900000	-27.55370000
1.36100000	-24.68060000
1.36300000	-28.51100000
1.36500000	-27.01150000
1.36700000	-25.95440000
1.36900000	-28.22420000
1.37100000	-28.07020000
1.37300000	-28.97240000
1.37500000	-28.38960000
1.37700000	-27.71920000
1.37900000	-28.47130000
1.38100000	-29.26910000
1.38300000	-27.47700000
1.38500000	-27.14280000
1.38700000	-27.13800000
1.38900000	-28.83070000
1.39100000	-29.23040000
1.39300000	-28.34770000
1.39500000	-26.90920000
1.39700000	-27.40190000
1.39900000	-27.65820000
1.40100000	-26.87980000
1.40300000	-28.74770000
1.40500000	-26.90820000
1.40700000	-28.23410000
1.40900000	-28.82670000
1.41100000	-30.07250000
1.41300000	-27.27910000
1.41500000	-26.10390000
1.41700000	-25.81490000
1.41900000	-25.59390000
1.42100000	-27.41820000
1.42300000	-24.64250000
1.42500000	-26.98390000
1.42700000	-26.85840000
1.42900000	-27.15800000
1.43100000	-25.12310000
1.43300000	-26.96440000
1.43500000	-27.83190000
1.43700000	-26.81780000
1.43900000	-24.36720000
1.44100000	-27.50150000
1.44300000	-25.35390000
1.44500000	-29.96530000
1.44700000	-28.02290000
1.44900000	-28.07920000
1.45100000	-28.21710000
1.45300000	-29.99660000
1.45500000	-26.26720000
1.45700000	-29.90700000
1.45900000	-26.24210000
1.46100000	-26.23290000
1.46300000	-31.90220000
1.46500000	-27.50090000
1.46700000	-28.20990000
1.46900000	-26.67840000
1.47100000	-30.27380000
1.47300000	-27.09730000
1.47500000	-29.86880000
1.47700000	-25.02960000
1.47900000	-25.66390000
1.48100000	-29.74330000
1.48300000	-27.11150000
1.48500000	-29.62490000
1.48700000	-27.26530000
1.48900000	-28.53740000
1.49100000	-26.90170000
1.49300000	-29.18250000
1.49500000	-25.94570000
1.49700000	-29.08340000
1.49900000	-25.38190000
1.50100000	-26.49300000
1.50300000	-26.27150000
1.50500000	-30.28560000
1.50700000	-28.01730000
1.50900000	-27.71350000
1.51100000	-28.38040000
1.51300000	-27.36390000
1.51500000	-26.99790000
