#Time	Etot_1
1.00100000	0.00000000
1.00300000	-0.27050000
1.00500000	-0.12590000
1.00700000	0.13370000
1.00900000	0.89500000
1.01100000	-0.17730000
1.01300000	2.59170000
1.01500000	0.98180000
1.01700000	1.77250000
1.01900000	1.88280000
1.02100000	-0.21410000
1.02300000	0.89590000
1.02500000	1.08800000
1.02700000	-0.39530000
1.02900000	1.56420000
1.03100000	0.85170000
1.03300000	2.30040000
1.03500000	2.45840000
1.03700000	1.50850000
1.03900000	3.49420000
1.04100000	2.99280000
1.04300000	2.28300000
1.04500000	2.21890000
1.04700000	2.59600000
1.04900000	2.74580000
1.05100000	1.31680000
1.05300000	2.67260000
1.05500000	2.36810000
1.05700000	2.00180000
1.05900000	0.52320000
1.06100000	1.71740000
1.06300000	2.13260000
1.06500000	1.29190000
1.06700000	0.25110000
1.06900000	1.32590000
1.07100000	0.33200000
1.07300000	1.86710000
1.07500000	0.52650000
1.07700000	2.70940000
1.07900000	1.33330000
1.08100000	2.91970000
1.08300000	2.78010000
1.08500000	1.32080000
1.08700000	-0.21230000
1.08900000	2.09110000
1.09100000	1.35490000
1.09300000	-0.31730000
1.09500000	3.05830000
1.09700000	1.02360000
1.09900000	1.95130000
1.10100000	2.89380000
1.10300000	1.22760000
1.10500000	2.12720000
1.10700000	3.15570000
1.10900000	3.45800000
1.11100000	-0.02440000
1.11300000	2.07290000
1.11500000	0.54610000
1.11700000	2.58650000
1.11900000	-1.76550000
1.12100000	1.00510000
1.12300000	2.13970000
1.12500000	2.88840000
1.12700000	1.81170000
1.12900000	2.73650000
1.13100000	0.32040000
1.13300000	0.49330000
1.13500000	3.10770000
1.13700000	0.56240000
1.13900000	1.84800000
1.14100000	-0.36890000
1.14300000	0.36180000
1.14500000	2.81400000
1.14700000	2.49120000
1.14900000	0.66030000
1.15100000	-0.17130000
1.15300000	0.05740000
1.15500000	2.79960000
1.15700000	0.19010000
1.15900000	0.70840000
1.16100000	0.65520000
1.16300000	0.29410000
1.16500000	1.04910000
1.16700000	2.14160000
1.16900000	2.02040000
1.17100000	0.59140000
1.17300000	1.12260000
1.17500000	0.24970000
1.17700000	0.96820000
1.17900000	1.04030000
1.18100000	2.42320000
1.18300000	2.20210000
1.18500000	2.08250000
1.18700000	2.38920000
1.18900000	1.23900000
1.19100000	1.19980000
1.19300000	0.98660000
1.19500000	2.44300000
1.19700000	1.87660000
1.19900000	1.65010000
1.20100000	1.64730000
1.20300000	1.55040000
1.20500000	0.15800000
1.20700000	-0.86920000
1.20900000	2.01000000
1.21100000	1.57780000
1.21300000	1.16340000
1.21500000	1.08050000
1.21700000	2.26760000
1.21900000	2.67060000
1.22100000	2.88120000
1.22300000	2.09270000
1.22500000	2.19870000
1.22700000	3.25060000
1.22900000	4.21870000
1.23100000	3.01230000
1.23300000	1.03550000
1.23500000	2.68050000
1.23700000	2.75380000
1.23900000	2.86240000
1.24100000	4.20470000
1.24300000	3.14100000
1.24500000	6.30790000
1.24700000	3.83190000
1.24900000	3.06050000
1.25100000	4.41950000
1.25300000	4.40690000
1.25500000	4.32150000
1.25700000	5.57090000
1.25900000	4.77320000
1.26100000	3.30270000
1.26300000	4.93270000
1.26500000	5.50150000
1.26700000	2.45400000
1.26900000	4.10550000
1.27100000	3.21110000
1.27300000	4.47290000
1.27500000	4.71260000
1.27700000	4.83000000
1.27900000	3.47060000
1.28100000	5.38050000
1.28300000	3.32180000
1.28500000	3.30450000
1.28700000	4.16980000
1.28900000	3.13660000
1.29100000	3.29230000
1.29300000	4.07710000
1.29500000	3.53620000
1.29700000	4.50080000
1.29900000	3.56890000
1.30100000	3.93440000
1.30300000	4.91070000
1.30500000	4.50540000
1.30700000	5.82150000
1.30900000	4.12590000
1.31100000	3.88860000
1.31300000	4.94380000
1.31500000	5.39730000
1.31700000	5.71020000
1.31900000	4.44930000
1.32100000	5.32440000
1.32300000	4.56400000
1.32500000	3.87650000
1.32700000	2.46980000
1.32900000	4.25690000
1.33100000	4.78840000
1.33300000	3.96970000
1.33500000	4.91740000
1.33700000	5.51100000
1.33900000	6.20180000
1.34100000	4.22080000
1.34300000	5.72150000
1.34500000	2.92140000
1.34700000	4.99440000
1.34900000	3.76090000
1.35100000	5.97930000
1.35300000	3.14050000
1.35500000	4.89810000
1.35700000	4.08030000
1.35900000	4.89960000
1.36100000	3.54570000
1.36300000	3.67060000
1.36500000	5.46330000
1.36700000	5.10070000
1.36900000	3.24430000
1.37100000	4.73740000
1.37300000	3.75630000
1.37500000	5.06890000
1.37700000	6.50450000
1.37900000	5.27410000
1.38100000	4.75120000
1.38300000	5.14680000
1.38500000	4.47160000
1.38700000	5.50010000
1.38900000	3.48370000
1.39100000	4.50320000
1.39300000	5.45810000
1.39500000	2.31020000
1.39700000	4.02490000
1.39900000	5.53250000
1.40100000	4.56610000
1.40300000	4.50250000
1.40500000	3.95200000
1.40700000	4.25120000
1.40900000	6.34740000
1.41100000	3.30200000
1.41300000	3.09050000
1.41500000	3.73650000
1.41700000	2.60580000
1.41900000	6.95570000
1.42100000	4.81160000
1.42300000	2.54210000
1.42500000	3.84600000
1.42700000	4.92030000
1.42900000	3.46820000
1.43100000	4.09650000
1.43300000	3.64430000
1.43500000	5.49930000
1.43700000	4.93690000
1.43900000	4.58480000
1.44100000	4.30300000
1.44300000	4.94920000
1.44500000	3.91570000
1.44700000	4.15790000
1.44900000	3.71520000
1.45100000	3.70230000
1.45300000	3.94310000
1.45500000	4.14000000
1.45700000	3.96080000
1.45900000	4.32550000
1.46100000	3.99850000
1.46300000	3.81670000
1.46500000	4.02440000
1.46700000	3.37760000
1.46900000	3.52620000
1.47100000	3.98770000
1.47300000	4.37500000
1.47500000	4.41270000
1.47700000	4.63270000
1.47900000	3.86850000
1.48100000	4.45930000
1.48300000	5.23430000
1.48500000	4.31340000
1.48700000	7.14930000
1.48900000	5.50020000
1.49100000	6.39080000
1.49300000	4.87850000
1.49500000	5.79280000
1.49700000	5.63920000
1.49900000	5.72270000
1.50100000	4.67660000
1.50300000	5.73680000
1.50500000	4.64310000
1.50700000	5.69350000
1.50900000	4.69470000
1.51100000	4.85960000
1.51300000	3.00410000
1.51500000	5.77940000
1.51700000	4.81990000
1.51900000	2.64750000
1.52100000	5.79900000
1.52300000	5.73590000
1.52500000	3.93500000
1.52700000	3.57580000
1.52900000	5.30140000
1.53100000	3.84300000
1.53300000	1.96730000
1.53500000	5.28850000
1.53700000	4.36920000
1.53900000	4.44300000
1.54100000	5.18700000
1.54300000	3.71700000
1.54500000	3.47110000
1.54700000	4.00350000
1.54900000	2.83390000
1.55100000	4.40560000
1.55300000	2.87960000
1.55500000	3.49300000
1.55700000	2.97270000
1.55900000	4.48780000
1.56100000	2.69810000
1.56300000	3.81090000
1.56500000	3.38340000
1.56700000	2.51590000
1.56900000	3.13900000
1.57100000	4.68790000
1.57300000	4.33310000
1.57500000	2.86570000
1.57700000	3.79670000
1.57900000	5.19460000
1.58100000	1.60180000
1.58300000	4.76850000
1.58500000	2.43210000
1.58700000	3.82640000
1.58900000	3.84500000
1.59100000	4.07620000
1.59300000	4.30130000
1.59500000	4.69990000
1.59700000	4.85950000
1.59900000	4.88440000
1.60100000	3.86900000
1.60300000	4.63200000
1.60500000	3.93050000
1.60700000	4.07910000
1.60900000	5.25870000
1.61100000	4.35700000
1.61300000	4.30020000
1.61500000	3.36250000
1.61700000	3.75900000
1.61900000	6.30080000
1.62100000	4.07030000
1.62300000	4.97340000
1.62500000	4.90390000
1.62700000	3.07240000
1.62900000	4.54030000
1.63100000	4.85940000
1.63300000	3.99600000
1.63500000	4.72480000
1.63700000	3.92870000
1.63900000	4.35900000
1.64100000	4.42580000
1.64300000	4.60240000
1.64500000	5.17630000
1.64700000	5.15050000
1.64900000	3.61920000
1.65100000	4.87180000
1.65300000	4.84320000
1.65500000	4.24630000
1.65700000	1.50200000
1.65900000	4.19030000
1.66100000	3.09450000
1.66300000	5.89670000
1.66500000	4.61840000
1.66700000	3.98900000
1.66900000	4.26660000
1.67100000	5.04650000
1.67300000	3.89710000
1.67500000	3.36350000
1.67700000	3.97600000
1.67900000	4.13400000
1.68100000	4.20420000
1.68300000	2.51370000
1.68500000	4.32930000
1.68700000	3.99660000
1.68900000	5.61900000
1.69100000	4.71480000
1.69300000	5.38210000
1.69500000	4.04520000
1.69700000	4.18890000
1.69900000	6.06680000
1.70100000	3.49550000
1.70300000	2.90190000
1.70500000	4.63270000
1.70700000	6.38060000
1.70900000	5.26150000
1.71100000	3.40740000
1.71300000	3.54910000
1.71500000	4.50730000
1.71700000	4.44690000
1.71900000	5.65390000
1.72100000	6.06780000
1.72300000	3.23430000
1.72500000	6.02550000
1.72700000	3.96560000
1.72900000	3.74350000
1.73100000	4.67270000
1.73300000	5.48630000
1.73500000	4.73880000
1.73700000	5.10580000
1.73900000	4.54970000
1.74100000	4.32270000
1.74300000	4.74240000
1.74500000	3.69310000
1.74700000	4.69500000
1.74900000	4.69760000
1.75100000	4.84150000
1.75300000	6.08660000
1.75500000	5.33040000
1.75700000	5.24860000
1.75900000	4.48380000
1.76100000	7.39800000
1.76300000	6.57200000
1.76500000	5.75050000
1.76700000	5.68380000
1.76900000	5.18300000
1.77100000	4.90200000
1.77300000	5.80420000
1.77500000	5.81330000
1.77700000	5.09900000
1.77900000	5.98460000
1.78100000	6.13690000
1.78300000	4.66440000
1.78500000	5.74490000
1.78700000	6.81460000
1.78900000	4.82610000
1.79100000	5.20470000
1.79300000	4.59260000
1.79500000	3.58010000
1.79700000	5.38900000
1.79900000	5.23630000
1.80100000	2.66810000
1.80300000	4.15090000
1.80500000	5.56690000
1.80700000	3.89370000
1.80900000	5.15060000
1.81100000	6.37440000
1.81300000	4.85080000
1.81500000	3.84360000
1.81700000	5.11780000
1.81900000	4.76460000
1.82100000	3.80030000
1.82300000	5.17850000
1.82500000	5.05500000
1.82700000	4.24970000
1.82900000	4.44350000
1.83100000	2.99920000
1.83300000	3.93690000
1.83500000	4.53350000
1.83700000	4.60920000
1.83900000	4.74540000
1.84100000	6.18840000
1.84300000	5.04060000
1.84500000	3.23200000
1.84700000	4.96080000
1.84900000	3.87680000
1.85100000	5.87990000
1.85300000	4.14460000
1.85500000	3.79520000
1.85700000	4.72660000
1.85900000	3.44360000
1.86100000	2.90390000
1.86300000	3.76820000
1.86500000	4.64090000
1.86700000	3.78140000
1.86900000	2.97570000
1.87100000	4.27830000
