#Time	Etot_1
1.00100000	0.00000000
1.00300000	-16.47260000
1.00500000	-15.67130000
1.00700000	-12.79790000
1.00900000	-16.07280000
1.01100000	-18.10110000
1.01300000	-17.06010000
1.01500000	-22.40410000
1.01700000	-20.52310000
1.01900000	-22.02160000
1.02100000	-25.47950000
1.02300000	-24.03510000
1.02500000	-27.90400000
1.02700000	-30.15060000
1.02900000	-22.81930000
1.03100000	-27.72760000
1.03300000	-31.78580000
1.03500000	-28.62220000
1.03700000	-34.42770000
1.03900000	-31.19500000
1.04100000	-30.09290000
1.04300000	-35.35260000
1.04500000	-33.59310000
1.04700000	-34.37590000
1.04900000	-34.88990000
1.05100000	-36.45540000
1.05300000	-34.81610000
1.05500000	-34.55760000
1.05700000	-36.11820000
1.05900000	-37.13180000
1.06100000	-38.22530000
1.06300000	-40.20890000
1.06500000	-41.09170000
1.06700000	-37.40310000
1.06900000	-42.47410000
1.07100000	-42.53160000
1.07300000	-42.20570000
1.07500000	-38.83370000
1.07700000	-43.19010000
1.07900000	-44.88960000
1.08100000	-41.63000000
1.08300000	-43.36700000
1.08500000	-41.03020000
1.08700000	-36.46830000
1.08900000	-41.75990000
1.09100000	-46.62190000
1.09300000	-45.78870000
1.09500000	-44.72420000
1.09700000	-43.04190000
1.09900000	-46.49800000
1.10100000	-51.03660000
1.10300000	-46.17890000
1.10500000	-44.86560000
1.10700000	-42.56110000
1.10900000	-42.42010000
1.11100000	-46.22470000
1.11300000	-51.49560000
1.11500000	-43.62820000
1.11700000	-48.13700000
1.11900000	-54.06890000
1.12100000	-46.76920000
1.12300000	-47.90990000
1.12500000	-47.69590000
1.12700000	-44.13530000
1.12900000	-42.75950000
1.13100000	-48.06970000
1.13300000	-53.15290000
1.13500000	-45.77000000
1.13700000	-48.85220000
1.13900000	-51.23450000
1.14100000	-49.94360000
1.14300000	-50.02480000
1.14500000	-50.53700000
1.14700000	-56.01470000
1.14900000	-55.87320000
1.15100000	-49.92550000
1.15300000	-53.51310000
1.15500000	-55.53400000
1.15700000	-52.96240000
1.15900000	-53.01130000
1.16100000	-52.86710000
1.16300000	-50.61300000
1.16500000	-56.35240000
1.16700000	-50.57820000
1.16900000	-55.27410000
1.17100000	-55.32730000
1.17300000	-53.03330000
1.17500000	-49.18990000
1.17700000	-56.72050000
1.17900000	-52.17000000
1.18100000	-52.32890000
1.18300000	-55.43820000
1.18500000	-51.58390000
1.18700000	-55.78920000
1.18900000	-51.67240000
1.19100000	-55.21570000
1.19300000	-49.44040000
1.19500000	-51.88100000
1.19700000	-54.62260000
1.19900000	-51.58260000
1.20100000	-56.66490000
1.20300000	-57.77380000
1.20500000	-52.62990000
1.20700000	-49.03790000
1.20900000	-62.86480000
1.21100000	-55.73590000
1.21300000	-56.49730000
1.21500000	-58.31800000
1.21700000	-60.03610000
1.21900000	-59.09620000
1.22100000	-59.23740000
1.22300000	-55.33720000
1.22500000	-53.72550000
1.22700000	-65.49890000
1.22900000	-58.30660000
1.23100000	-56.88570000
1.23300000	-61.09030000
1.23500000	-60.62640000
1.23700000	-54.33830000
1.23900000	-61.19280000
1.24100000	-57.79040000
1.24300000	-55.33870000
1.24500000	-58.97450000
1.24700000	-54.75700000
1.24900000	-62.64120000
1.25100000	-66.23570000
1.25300000	-59.87780000
1.25500000	-56.95590000
1.25700000	-67.85970000
1.25900000	-69.86040000
1.26100000	-67.04350000
1.26300000	-62.94610000
1.26500000	-62.16350000
1.26700000	-52.85030000
1.26900000	-65.50630000
1.27100000	-58.94150000
1.27300000	-59.38970000
1.27500000	-67.03110000
1.27700000	-67.63950000
1.27900000	-65.87350000
1.28100000	-66.38970000
1.28300000	-61.71770000
1.28500000	-56.93530000
1.28700000	-55.57260000
1.28900000	-64.17720000
1.29100000	-64.81890000
1.29300000	-66.49490000
1.29500000	-58.77450000
1.29700000	-55.26000000
1.29900000	-66.16960000
1.30100000	-55.22200000
1.30300000	-61.87200000
1.30500000	-74.59160000
1.30700000	-69.02380000
1.30900000	-63.86710000
1.31100000	-66.53400000
1.31300000	-64.90880000
1.31500000	-69.53940000
1.31700000	-57.68990000
1.31900000	-62.07800000
1.32100000	-67.61370000
1.32300000	-64.98490000
1.32500000	-62.61500000
1.32700000	-53.70860000
1.32900000	-71.30400000
1.33100000	-61.61900000
1.33300000	-71.51600000
1.33500000	-65.68930000
1.33700000	-69.29600000
1.33900000	-58.34610000
1.34100000	-66.64100000
1.34300000	-66.97310000
1.34500000	-68.49400000
1.34700000	-73.79380000
1.34900000	-71.13410000
1.35100000	-67.83250000
1.35300000	-62.79770000
1.35500000	-66.66140000
1.35700000	-67.63870000
1.35900000	-67.16060000
1.36100000	-62.08770000
1.36300000	-67.59750000
1.36500000	-64.76740000
1.36700000	-69.84370000
1.36900000	-57.46510000
1.37100000	-63.34050000
1.37300000	-71.84310000
1.37500000	-63.87510000
1.37700000	-69.26310000
1.37900000	-63.30050000
1.38100000	-69.15910000
1.38300000	-66.32690000
1.38500000	-68.15350000
1.38700000	-63.78850000
1.38900000	-69.34860000
1.39100000	-62.44980000
1.39300000	-67.44930000
1.39500000	-64.05670000
1.39700000	-71.28140000
1.39900000	-72.01120000
1.40100000	-70.30840000
1.40300000	-78.71900000
1.40500000	-80.03260000
1.40700000	-64.18860000
1.40900000	-74.88030000
1.41100000	-74.30510000
1.41300000	-67.77570000
1.41500000	-75.87720000
1.41700000	-68.99360000
1.41900000	-61.57910000
1.42100000	-66.50560000
1.42300000	-69.76650000
1.42500000	-63.65610000
1.42700000	-61.87510000
1.42900000	-63.49900000
1.43100000	-76.41890000
1.43300000	-71.78800000
1.43500000	-73.98340000
1.43700000	-72.27980000
1.43900000	-77.70960000
1.44100000	-77.89110000
1.44300000	-62.52820000
1.44500000	-76.20760000
1.44700000	-73.03540000
1.44900000	-75.36530000
1.45100000	-73.19570000
1.45300000	-67.11700000
1.45500000	-70.02350000
1.45700000	-67.15100000
1.45900000	-75.26050000
1.46100000	-74.33590000
1.46300000	-77.17530000
1.46500000	-75.04160000
1.46700000	-76.11050000
1.46900000	-59.33050000
1.47100000	-75.02330000
1.47300000	-77.77650000
1.47500000	-80.39000000
1.47700000	-72.66890000
1.47900000	-76.60330000
1.48100000	-77.12100000
1.48300000	-73.42870000
1.48500000	-68.84130000
1.48700000	-72.01610000
1.48900000	-75.29690000
1.49100000	-78.16920000
1.49300000	-79.08080000
1.49500000	-75.98820000
1.49700000	-72.56740000
1.49900000	-70.24310000
1.50100000	-64.51650000
1.50300000	-77.95500000
1.50500000	-69.39800000
1.50700000	-78.09740000
1.50900000	-70.31650000
1.51100000	-74.44940000
1.51300000	-78.53690000
1.51500000	-71.95780000
1.51700000	-66.92940000
1.51900000	-64.44610000
1.52100000	-73.39430000
1.52300000	-76.20160000
1.52500000	-74.83090000
1.52700000	-76.31280000
1.52900000	-82.57190000
1.53100000	-71.50700000
1.53300000	-72.08110000
1.53500000	-72.98090000
1.53700000	-70.75740000
1.53900000	-81.46980000
1.54100000	-79.45230000
1.54300000	-67.64540000
1.54500000	-79.02800000
1.54700000	-76.91720000
1.54900000	-67.75160000
1.55100000	-74.22450000
1.55300000	-71.43510000
1.55500000	-70.67260000
1.55700000	-70.17200000
1.55900000	-76.18900000
1.56100000	-75.05210000
1.56300000	-72.44680000
1.56500000	-88.34240000
1.56700000	-69.43960000
1.56900000	-73.98550000
1.57100000	-73.75620000
1.57300000	-67.30810000
1.57500000	-79.39860000
1.57700000	-72.83960000
1.57900000	-71.87500000
1.58100000	-70.96920000
1.58300000	-74.16800000
1.58500000	-86.61770000
1.58700000	-79.06540000
1.58900000	-73.11560000
1.59100000	-78.42550000
1.59300000	-82.65110000
1.59500000	-74.53790000
1.59700000	-77.96280000
1.59900000	-80.87010000
1.60100000	-77.50830000
1.60300000	-80.36910000
1.60500000	-74.57820000
1.60700000	-76.67410000
1.60900000	-82.49230000
1.61100000	-83.15420000
1.61300000	-77.21570000
1.61500000	-85.98520000
1.61700000	-78.10340000
1.61900000	-83.53580000
1.62100000	-81.38540000
1.62300000	-81.73240000
1.62500000	-77.87380000
1.62700000	-73.59790000
1.62900000	-80.24470000
1.63100000	-80.08030000
1.63300000	-82.33770000
1.63500000	-67.74580000
