#Time	Etot_1
1.00100000	0.00000000
1.00300000	0.24180000
1.00500000	0.58110000
1.00700000	1.15450000
1.00900000	0.81550000
1.01100000	1.07820000
1.01300000	0.78320000
1.01500000	0.15860000
1.01700000	1.02130000
1.01900000	0.80590000
1.02100000	0.39090000
1.02300000	0.28860000
1.02500000	0.92280000
1.02700000	0.76300000
1.02900000	0.77470000
1.03100000	0.84860000
1.03300000	1.03930000
1.03500000	0.45860000
1.03700000	0.71380000
1.03900000	1.42300000
1.04100000	0.62350000
1.04300000	0.96980000
1.04500000	0.59680000
1.04700000	0.42080000
1.04900000	0.91840000
1.05100000	1.04160000
1.05300000	1.40030000
1.05500000	1.61270000
1.05700000	0.61660000
1.05900000	0.57680000
1.06100000	0.49570000
1.06300000	0.32110000
1.06500000	0.09410000
1.06700000	0.55840000
1.06900000	1.03250000
1.07100000	0.62370000
1.07300000	0.16340000
1.07500000	0.02310000
1.07700000	0.55720000
1.07900000	0.47200000
1.08100000	0.52610000
1.08300000	1.47700000
1.08500000	0.75580000
1.08700000	0.87300000
1.08900000	-0.10840000
1.09100000	1.08500000
1.09300000	1.21090000
1.09500000	1.21250000
1.09700000	0.82950000
1.09900000	0.14580000
1.10100000	0.65440000
1.10300000	0.95410000
1.10500000	0.24370000
1.10700000	0.48390000
1.10900000	1.65780000
1.11100000	0.01900000
1.11300000	1.14480000
1.11500000	0.74690000
1.11700000	0.99200000
1.11900000	1.11930000
1.12100000	0.66910000
1.12300000	1.03400000
1.12500000	0.06710000
1.12700000	0.70070000
1.12900000	-0.31370000
1.13100000	0.96430000
1.13300000	0.32830000
1.13500000	0.54150000
1.13700000	0.26670000
1.13900000	0.17180000
1.14100000	0.50000000
1.14300000	-0.16560000
1.14500000	1.23360000
1.14700000	1.38750000
1.14900000	0.49650000
1.15100000	1.54240000
1.15300000	0.85610000
1.15500000	0.85130000
1.15700000	-0.85770000
1.15900000	0.64170000
1.16100000	1.37580000
1.16300000	0.63460000
1.16500000	0.31910000
1.16700000	0.03900000
1.16900000	1.07120000
1.17100000	0.97510000
1.17300000	1.18520000
1.17500000	0.72030000
1.17700000	-0.00910000
1.17900000	0.42180000
1.18100000	-0.62210000
1.18300000	0.14520000
1.18500000	0.38440000
1.18700000	0.39820000
1.18900000	0.85190000
1.19100000	0.45880000
1.19300000	-0.21250000
1.19500000	0.41260000
1.19700000	-0.07340000
1.19900000	0.10790000
1.20100000	0.46780000
1.20300000	0.57630000
1.20500000	0.18320000
1.20700000	0.51470000
1.20900000	0.07000000
1.21100000	0.30580000
1.21300000	0.87830000
1.21500000	-0.12160000
1.21700000	0.62450000
1.21900000	-0.60620000
1.22100000	-0.13300000
1.22300000	0.50000000
1.22500000	0.20730000
1.22700000	0.31410000
1.22900000	0.78460000
1.23100000	0.11000000
1.23300000	0.28310000
1.23500000	0.93600000
1.23700000	0.50290000
1.23900000	1.08670000
1.24100000	0.16140000
1.24300000	0.34680000
1.24500000	0.82690000
1.24700000	0.83520000
1.24900000	0.76190000
1.25100000	0.79050000
1.25300000	0.83800000
1.25500000	0.57490000
1.25700000	0.85010000
1.25900000	0.02520000
1.26100000	0.38190000
1.26300000	1.02140000
1.26500000	-0.32380000
1.26700000	1.07840000
1.26900000	0.58700000
1.27100000	0.29320000
1.27300000	0.65240000
1.27500000	0.25940000
1.27700000	1.33590000
1.27900000	0.63550000
1.28100000	0.65240000
1.28300000	0.68580000
1.28500000	0.21880000
1.28700000	0.50520000
1.28900000	0.90430000
1.29100000	0.22420000
1.29300000	0.86580000
1.29500000	0.44110000
1.29700000	0.62340000
1.29900000	0.75030000
1.30100000	0.86010000
1.30300000	-0.44540000
1.30500000	0.88270000
1.30700000	0.61800000
1.30900000	0.46170000
1.31100000	0.54160000
1.31300000	-0.34920000
1.31500000	0.55910000
1.31700000	0.33900000
1.31900000	1.26790000
1.32100000	0.62610000
1.32300000	0.38260000
1.32500000	0.66780000
1.32700000	0.32090000
1.32900000	1.21330000
1.33100000	0.48810000
1.33300000	0.65820000
1.33500000	-0.46360000
1.33700000	0.42060000
1.33900000	0.93250000
1.34100000	0.70400000
1.34300000	0.30910000
1.34500000	0.53710000
1.34700000	0.28580000
1.34900000	0.40260000
1.35100000	0.68920000
1.35300000	0.84940000
1.35500000	0.84950000
1.35700000	-0.25260000
1.35900000	0.35160000
1.36100000	0.70140000
1.36300000	0.82040000
1.36500000	0.29640000
1.36700000	0.12890000
1.36900000	0.56280000
1.37100000	0.59780000
1.37300000	0.70710000
1.37500000	0.58760000
1.37700000	0.43070000
1.37900000	0.44830000
1.38100000	0.60750000
1.38300000	0.73360000
1.38500000	0.07310000
1.38700000	1.28010000
1.38900000	0.46520000
1.39100000	0.07850000
1.39300000	1.03790000
1.39500000	0.91810000
1.39700000	0.37180000
1.39900000	0.62080000
1.40100000	0.26150000
1.40300000	-0.18530000
1.40500000	0.30120000
1.40700000	0.58550000
1.40900000	0.55210000
1.41100000	1.35020000
1.41300000	0.43910000
1.41500000	1.19020000
1.41700000	0.21890000
1.41900000	1.20980000
1.42100000	0.48640000
1.42300000	0.60090000
1.42500000	0.46130000
1.42700000	-0.15190000
1.42900000	0.53300000
1.43100000	-0.20370000
1.43300000	0.22680000
1.43500000	0.36540000
1.43700000	0.66420000
1.43900000	0.48220000
1.44100000	0.22790000
1.44300000	-0.33260000
1.44500000	0.11430000
1.44700000	0.48020000
1.44900000	0.28540000
1.45100000	-0.63730000
1.45300000	-0.31070000
1.45500000	0.25270000
1.45700000	0.51600000
1.45900000	0.65690000
1.46100000	0.15470000
1.46300000	-0.38860000
1.46500000	0.43980000
1.46700000	0.43320000
1.46900000	0.26160000
1.47100000	-0.35520000
1.47300000	0.96030000
1.47500000	0.91480000
1.47700000	0.83390000
1.47900000	-0.46620000
1.48100000	0.22830000
1.48300000	1.02840000
1.48500000	1.09530000
1.48700000	0.49040000
1.48900000	0.06700000
1.49100000	0.03790000
1.49300000	0.11570000
1.49500000	0.47340000
1.49700000	0.14580000
1.49900000	0.17110000
1.50100000	0.60380000
1.50300000	0.26300000
1.50500000	0.67140000
1.50700000	-0.15420000
1.50900000	-0.12670000
1.51100000	1.05670000
1.51300000	0.50080000
1.51500000	0.28260000
1.51700000	0.18250000
1.51900000	0.84470000
1.52100000	-0.30350000
1.52300000	-0.12750000
1.52500000	0.65120000
1.52700000	0.57220000
1.52900000	0.12040000
1.53100000	0.45180000
1.53300000	-0.15300000
1.53500000	0.57580000
1.53700000	-0.09610000
1.53900000	-0.04500000
1.54100000	0.27160000
1.54300000	0.04650000
1.54500000	0.28140000
1.54700000	0.75280000
1.54900000	0.70000000
1.55100000	0.08310000
1.55300000	0.73490000
1.55500000	0.73320000
1.55700000	-0.02200000
1.55900000	-0.26850000
1.56100000	0.15140000
1.56300000	0.21820000
1.56500000	-0.04040000
1.56700000	0.39210000
1.56900000	0.59830000
1.57100000	0.19770000
1.57300000	-0.12630000
1.57500000	0.44950000
1.57700000	0.71380000
1.57900000	1.04770000
1.58100000	0.35400000
1.58300000	0.57700000
1.58500000	0.35670000
1.58700000	0.22390000
1.58900000	0.21630000
1.59100000	-0.68240000
1.59300000	0.79110000
1.59500000	0.46700000
1.59700000	0.17960000
1.59900000	0.63580000
1.60100000	0.02110000
1.60300000	0.75490000
1.60500000	0.10130000
1.60700000	0.34940000
1.60900000	0.84020000
1.61100000	0.70720000
1.61300000	-0.08410000
1.61500000	0.85810000
1.61700000	0.93870000
1.61900000	-0.06640000
1.62100000	0.13850000
1.62300000	-0.00300000
1.62500000	-0.01560000
1.62700000	0.09800000
1.62900000	-0.15130000
1.63100000	-0.06050000
1.63300000	0.33100000
1.63500000	-0.06990000
1.63700000	-0.19650000
1.63900000	0.79770000
1.64100000	0.49430000
1.64300000	0.27810000
1.64500000	0.24650000
1.64700000	-0.69920000
1.64900000	0.69350000
1.65100000	0.42020000
1.65300000	0.36080000
1.65500000	-0.00570000
1.65700000	0.78550000
1.65900000	0.02800000
1.66100000	-0.46610000
1.66300000	0.45870000
1.66500000	1.03930000
1.66700000	0.21340000
1.66900000	-0.11330000
1.67100000	0.04090000
1.67300000	0.05250000
1.67500000	-0.54870000
1.67700000	0.42880000
1.67900000	-0.04500000
1.68100000	-0.04250000
1.68300000	-0.05280000
1.68500000	0.65380000
1.68700000	-0.14850000
1.68900000	-0.14320000
1.69100000	0.31970000
1.69300000	-0.07740000
1.69500000	0.52170000
1.69700000	-0.21590000
1.69900000	-0.24330000
1.70100000	-0.12660000
1.70300000	0.55840000
1.70500000	-0.00480000
1.70700000	0.29690000
1.70900000	0.15500000
1.71100000	0.17380000
1.71300000	0.48250000
1.71500000	-0.40590000
1.71700000	0.81660000
1.71900000	0.34420000
1.72100000	-0.21390000
1.72300000	-0.18070000
1.72500000	-0.21770000
1.72700000	0.47940000
1.72900000	0.49830000
1.73100000	0.89720000
1.73300000	0.07340000
1.73500000	0.28690000
1.73700000	0.70870000
1.73900000	-0.78490000
1.74100000	0.89620000
1.74300000	0.67020000
1.74500000	0.77510000
1.74700000	-0.28370000
1.74900000	0.19740000
1.75100000	-0.05440000
1.75300000	0.69520000
1.75500000	0.69630000
1.75700000	-0.26880000
1.75900000	-0.21710000
1.76100000	0.06390000
1.76300000	0.07150000
1.76500000	-0.48240000
1.76700000	0.01900000
1.76900000	-0.36340000
1.77100000	0.04500000
1.77300000	-0.04110000
1.77500000	-0.07030000
1.77700000	-0.42500000
1.77900000	-0.91380000
1.78100000	-1.08300000
1.78300000	-0.28030000
1.78500000	0.39990000
1.78700000	-0.09470000
1.78900000	0.11360000
1.79100000	0.40730000
1.79300000	-0.68520000
1.79500000	1.26440000
1.79700000	0.25940000
1.79900000	0.05670000
1.80100000	-0.04970000
1.80300000	0.20990000
1.80500000	-0.45970000
1.80700000	-0.15320000
1.80900000	0.02210000
1.81100000	-0.48510000
1.81300000	-0.03630000
1.81500000	-0.22680000
1.81700000	-0.03610000
1.81900000	0.13590000
1.82100000	0.25110000
1.82300000	-0.09990000
1.82500000	0.53020000
1.82700000	0.79180000
1.82900000	-0.23560000
1.83100000	-0.57610000
1.83300000	0.02720000
1.83500000	0.49140000
1.83700000	-0.07620000
1.83900000	-0.11980000
1.84100000	0.85200000
1.84300000	-0.14230000
1.84500000	-1.07330000
1.84700000	-0.25550000
1.84900000	0.27350000
1.85100000	-0.36800000
1.85300000	-0.48570000
1.85500000	-0.10200000
1.85700000	0.97340000
1.85900000	0.10010000
1.86100000	0.08210000
1.86300000	-0.33810000
1.86500000	0.76350000
1.86700000	-0.13830000
1.86900000	-0.17420000
1.87100000	-0.50260000
1.87300000	-0.42550000
1.87500000	-0.41870000
1.87700000	0.28870000
1.87900000	0.04480000
1.88100000	0.07930000
1.88300000	-0.29820000
1.88500000	0.27790000
1.88700000	0.00440000
1.88900000	-0.09600000
1.89100000	0.06190000
1.89300000	0.36030000
1.89500000	-0.84840000
1.89700000	0.47470000
1.89900000	-0.04820000
1.90100000	-0.19440000
1.90300000	0.04130000
1.90500000	-0.31940000
1.90700000	0.39150000
1.90900000	-0.73070000
1.91100000	-0.19690000
1.91300000	-0.36910000
1.91500000	-0.06460000
1.91700000	0.69100000
1.91900000	-0.73050000
1.92100000	0.42130000
1.92300000	-0.37790000
1.92500000	0.19440000
1.92700000	0.08590000
1.92900000	-0.76380000
1.93100000	0.36310000
1.93300000	0.13560000
1.93500000	-0.44540000
1.93700000	-0.58370000
1.93900000	-0.16580000
1.94100000	-1.15370000
1.94300000	0.02520000
1.94500000	-1.13010000
1.94700000	-0.34940000
1.94900000	-1.16010000
1.95100000	0.71030000
1.95300000	0.15020000
1.95500000	-0.10110000
1.95700000	-0.45950000
1.95900000	-0.82970000
1.96100000	0.02280000
1.96300000	-0.49180000
1.96500000	-0.48370000
1.96700000	-0.16540000
1.96900000	-0.59360000
1.97100000	0.14650000
1.97300000	0.29560000
1.97500000	-0.54260000
1.97700000	-0.15370000
1.97900000	-0.03220000
1.98100000	-0.23970000
1.98300000	-1.39220000
1.98500000	0.19540000
1.98700000	0.33260000
1.98900000	0.01830000
1.99100000	-0.24480000
1.99300000	-0.11990000
1.99500000	-0.36750000
1.99700000	0.39740000
1.99900000	0.17200000
2.00100000	-0.27920000
2.00300000	0.38680000
2.00500000	-0.09540000
2.00700000	-0.69850000
2.00900000	-0.70490000
2.01100000	0.22450000
2.01300000	-0.33610000
2.01500000	0.04490000
2.01700000	0.50240000
2.01900000	0.10370000
2.02100000	-0.40150000
2.02300000	-0.18020000
2.02500000	-1.31300000
2.02700000	-0.27710000
2.02900000	-0.18930000
2.03100000	-0.51120000
2.03300000	-0.42080000
2.03500000	-0.08340000
2.03700000	0.10990000
2.03900000	-0.51570000
2.04100000	0.11780000
2.04300000	-0.43280000
2.04500000	-0.21820000
2.04700000	0.01870000
2.04900000	-0.20470000
2.05100000	-0.06940000
2.05300000	-0.08540000
2.05500000	-0.18150000
2.05700000	-0.21680000
2.05900000	-0.73770000
2.06100000	-0.90360000
2.06300000	-0.15120000
2.06500000	-0.49060000
2.06700000	-0.57470000
2.06900000	-0.11000000
2.07100000	0.08310000
2.07300000	-0.28450000
2.07500000	-0.88900000
2.07700000	0.42570000
2.07900000	-0.14580000
2.08100000	-0.70880000
2.08300000	-0.84900000
2.08500000	-0.21050000
2.08700000	-0.14570000
2.08900000	-0.17680000
2.09100000	-0.32010000
2.09300000	-0.26230000
2.09500000	-0.77710000
2.09700000	-0.12270000
2.09900000	-0.33060000
2.10100000	0.10160000
2.10300000	-0.17910000
2.10500000	-0.96540000
2.10700000	-0.38080000
2.10900000	-0.81880000
2.11100000	0.21460000
2.11300000	0.19330000
2.11500000	-0.11210000
2.11700000	-0.16650000
2.11900000	0.07500000
2.12100000	-0.31660000
2.12300000	0.27580000
2.12500000	0.91740000
2.12700000	-0.12750000
2.12900000	-0.40020000
2.13100000	-0.16220000
2.13300000	1.02480000
2.13500000	-0.03490000
2.13700000	-0.29470000
2.13900000	-0.22600000
2.14100000	-0.57410000
2.14300000	-0.35150000
2.14500000	0.19160000
2.14700000	-0.41120000
2.14900000	-0.35000000
2.15100000	-0.67760000
2.15300000	0.02920000
2.15500000	0.17170000
2.15700000	-0.91480000
2.15900000	-1.27880000
2.16100000	-0.40870000
2.16300000	-0.39630000
2.16500000	-0.31620000
2.16700000	0.32120000
2.16900000	0.44940000
2.17100000	-0.33580000
2.17300000	-0.65690000
2.17500000	-0.22350000
2.17700000	-0.09130000
2.17900000	0.30270000
2.18100000	-0.67400000
2.18300000	0.35120000
2.18500000	-0.05880000
2.18700000	-0.50230000
2.18900000	-0.46240000
2.19100000	-0.44310000
2.19300000	0.31770000
2.19500000	-0.12170000
2.19700000	0.13700000
2.19900000	-0.08210000
2.20100000	1.05300000
2.20300000	-0.12840000
2.20500000	0.40750000
2.20700000	0.12290000
2.20900000	0.57720000
2.21100000	0.25950000
2.21300000	0.23860000
2.21500000	0.15980000
2.21700000	0.48680000
2.21900000	0.35260000
2.22100000	0.25890000
2.22300000	0.08810000
2.22500000	0.24750000
2.22700000	0.10100000
2.22900000	0.06080000
2.23100000	-0.32360000
2.23300000	0.02250000
2.23500000	-0.78300000
2.23700000	-0.46000000
2.23900000	0.51550000
2.24100000	-0.16180000
2.24300000	-0.38090000
2.24500000	0.69140000
2.24700000	-0.36850000
2.24900000	-0.59080000
2.25100000	-0.68600000
2.25300000	-0.71560000
2.25500000	-0.53790000
2.25700000	-0.02840000
2.25900000	-0.02300000
2.26100000	-0.94810000
2.26300000	0.09630000
2.26500000	0.65510000
2.26700000	0.06630000
2.26900000	0.27090000
2.27100000	-0.20860000
2.27300000	-0.02510000
2.27500000	0.63000000
2.27700000	0.30550000
2.27900000	-0.31510000
2.28100000	-1.21800000
2.28300000	0.04930000
2.28500000	0.01900000
2.28700000	-0.22660000
2.28900000	-0.63100000
2.29100000	-0.21900000
2.29300000	-0.37320000
2.29500000	0.23400000
2.29700000	0.70440000
2.29900000	-0.11980000
2.30100000	-0.24810000
2.30300000	-0.41820000
2.30500000	0.48750000
2.30700000	-0.44100000
2.30900000	0.73010000
2.31100000	-0.51920000
2.31300000	-0.15450000
2.31500000	-0.86440000
2.31700000	0.27060000
2.31900000	-0.18630000
2.32100000	0.24580000
2.32300000	0.45920000
2.32500000	0.27790000
2.32700000	-0.00880000
2.32900000	-0.38860000
2.33100000	0.33080000
2.33300000	-0.41240000
2.33500000	-0.36970000
2.33700000	0.05320000
2.33900000	-0.92340000
2.34100000	-0.50440000
2.34300000	0.07820000
2.34500000	-0.61350000
2.34700000	0.26800000
2.34900000	-1.07340000
2.35100000	0.13280000
2.35300000	-1.10060000
2.35500000	-0.66650000
2.35700000	-0.16310000
2.35900000	-0.27910000
2.36100000	-0.03980000
2.36300000	0.08210000
2.36500000	-0.46990000
2.36700000	-0.28140000
2.36900000	-0.08780000
2.37100000	-0.39620000
2.37300000	0.27440000
2.37500000	-0.10480000
2.37700000	0.06280000
2.37900000	-0.68180000
2.38100000	0.12620000
2.38300000	-0.24690000
2.38500000	-0.21140000
2.38700000	-0.38400000
2.38900000	-0.77580000
2.39100000	0.01560000
