,,Timestep,,,,,
SC setup,λ,0.5 fs,1 fs,2 fs,2.5 fs,3.3333 fs,4 fs
no SC,0,$1.4 \times 10^{0}$,$1.2 \times 10^{0}$,$2.0 \times 10^{0}$,$2.2 \times 10^{0}$,$3.3 \times 10^{0}$,$3.9 \times 10^{0}$
,0.25,$1.1 \times 10^{0}$,$1.2 \times 10^{0}$,$1.8 \times 10^{0}$,$2.0 \times 10^{0}$,$3.0 \times 10^{0}$,$3.6 \times 10^{0}$
,0.5,$1.1 \times 10^{0}$,$1.1 \times 10^{0}$,$1.8 \times 10^{0}$,$2.0 \times 10^{0}$,$3.0 \times 10^{0}$,$3.4 \times 10^{0}$
,0.75,$8.9 \times 10^{-1}$,$1.0 \times 10^{0}$,$1.4 \times 10^{0}$,$1.9 \times 10^{0}$,$2.4 \times 10^{0}$,$3.1 \times 10^{0}$
,1,$9.7 \times 10^{-1}$,$1.1 \times 10^{0}$,$1.5 \times 10^{0}$,$1.7 \times 10^{0}$,$2.3 \times 10^{0}$,$2.7 \times 10^{0}$
1 atom SC,0,$1.1 \times 10^{0}$,$1.2 \times 10^{0}$,$1.8 \times 10^{0}$,$2.3 \times 10^{0}$,$2.8 \times 10^{0}$,$4.2 \times 10^{0}$
,0.25,$9.8 \times 10^{-1}$,$9.4 \times 10^{-1}$,$1.5 \times 10^{0}$,$1.7 \times 10^{0}$,$2.0 \times 10^{0}$,$3.3 \times 10^{0}$
,0.5,$9.8 \times 10^{-1}$,$1.0 \times 10^{0}$,$1.5 \times 10^{0}$,$1.7 \times 10^{0}$,$2.7 \times 10^{0}$,$3.0 \times 10^{0}$
,0.75,$9.9 \times 10^{-1}$,$1.0 \times 10^{0}$,$1.7 \times 10^{0}$,$1.8 \times 10^{0}$,$2.4 \times 10^{0}$,$3.0 \times 10^{0}$
,1,$1.3 \times 10^{0}$,$1.1 \times 10^{0}$,$1.6 \times 10^{0}$,$2.0 \times 10^{0}$,$3.0 \times 10^{0}$,$3.6 \times 10^{0}$
All SC,0 (20 ns),$9.1 \times 10^{-1}$,$9.3 \times 10^{-1}$,$1.7 \times 10^{0}$,$2.2 \times 10^{0}$,$2.0 \times 10^{0}$,$3.0 \times 10^{0}$
,0.25,$8.4 \times 10^{-1}$,$9.8 \times 10^{-1}$,$1.5 \times 10^{0}$,$1.5 \times 10^{0}$,$2.1 \times 10^{0}$,$3.0 \times 10^{0}$
,0.5,$8.2 \times 10^{-1}$,$8.6 \times 10^{-1}$,$1.4 \times 10^{0}$,$2.0 \times 10^{0}$,$3.5 \times 10^{0}$,$5.0 \times 10^{0}$
,0.75,$9.5 \times 10^{-1}$,$9.4 \times 10^{-1}$,$1.4 \times 10^{0}$,$1.4 \times 10^{0}$,$2.0 \times 10^{0}$,$2.7 \times 10^{0}$
,1 (20 ns),$8.1 \times 10^{-1}$,$9.6 \times 10^{-1}$,$1.4 \times 10^{0}$,$1.9 \times 10^{0}$,$1.8 \times 10^{0}$,$2.4 \times 10^{0}$
