,,Timestep,,,,,
SC setup,λ,0.5 fs,1 fs,2 fs,2.5 fs,3.3333 fs,4 fs
4/5 atoms,0,$2.3 \times 10^{-1}$,$3.7 \times 10^{-1}$,$3.2 \times 10^{0}$,$4.9 \times 10^{0}$,$8.3 \times 10^{0}$,$1.4 \times 10^{1}$
,0.25,$1.3 \times 10^{-1}$,$7.6 \times 10^{-1}$,$2.8 \times 10^{0}$,$4.4 \times 10^{0}$,$9.0 \times 10^{0}$,$1.4 \times 10^{1}$
,0.5,$2.4 \times 10^{-1}$,$6.9 \times 10^{-1}$,$3.4 \times 10^{0}$,$4.9 \times 10^{0}$,$8.6 \times 10^{0}$,$1.3 \times 10^{1}$
,0.75,$4.5 \times 10^{-1}$,$5.8 \times 10^{-1}$,$3.0 \times 10^{0}$,$5.2 \times 10^{0}$,$9.5 \times 10^{0}$,$1.3 \times 10^{1}$
,1,$1.6 \times 10^{-1}$,$6.2 \times 10^{-1}$,$2.7 \times 10^{0}$,$4.5 \times 10^{0}$,$10.0 \times 10^{0}$,$1.5 \times 10^{1}$
All,0,$5.1 \times 10^{-1}$,$1.2 \times 10^{0}$,$3.1 \times 10^{0}$,$3.1 \times 10^{0}$,$8.6 \times 10^{0}$,$1.6 \times 10^{1}$
,0.25,$1.2 \times 10^{-1}$,$1.0 \times 10^{0}$,$2.7 \times 10^{0}$,$5.4 \times 10^{0}$,$8.8 \times 10^{0}$,$1.4 \times 10^{1}$
,0.5,$2.1 \times 10^{-1}$,$6.7 \times 10^{-1}$,$3.3 \times 10^{0}$,$6.0 \times 10^{0}$,$1.3 \times 10^{1}$,$2.2 \times 10^{1}$
,0.75,$7.1 \times 10^{-2}$,$6.2 \times 10^{-1}$,$2.8 \times 10^{0}$,$5.0 \times 10^{0}$,$9.5 \times 10^{0}$,$1.4 \times 10^{1}$
,1,$-9.2 \times 10^{-2}$,$1.1 \times 10^{0}$,$4.3 \times 10^{0}$,$4.0 \times 10^{0}$,$1.0 \times 10^{1}$,$1.2 \times 10^{1}$
